time_s,segment_range,active_range_carla,active_range_model,setpoint_carla_mps,setpoint_model_mps,speed_carla_mps,speed_model_mps,throttle_carla,throttle_model,brake_carla,brake_model,u_carla,u_model
2.0700,low,low,low,0.0000,0.0000,0.0000,3.5598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0800,low,low,low,0.0000,0.0000,0.0000,3.5453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.0900,low,low,low,0.0000,0.0000,0.0000,3.5309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1000,low,low,low,0.0000,0.0000,0.0000,3.5165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1100,low,low,low,0.0000,0.0000,0.0000,3.5021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1200,low,low,low,0.0000,0.0000,0.0000,3.4878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1300,low,low,low,0.0000,0.0000,0.0000,3.4736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1400,low,low,low,0.0000,0.0000,0.0000,3.4594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1500,low,low,low,0.0000,0.0000,0.0000,3.4452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1600,low,low,low,0.0000,0.0000,0.0000,3.4311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1700,low,low,low,0.0000,0.0000,0.0000,3.4170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.1800,low,low,low,0.0000,0.0000,0.0000,3.4030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
